JD_BEGIN,Rc,EXPOSURE
2455799.9853165043,14.195321020287999,120.0
2455801.1008886234,14.150169510760513,120.0
2455808.9627047074,12.248108476036569,120.0
2455813.0101848063,11.274296135301414,120.0
2455813.9753695736,10.874705761729421,120.0
2455814.9685624843,10.404389237516158,120.0
2455821.9437114503,10.135610530141971,120.0
2455824.9724966767,10.620089935071475,120.0
2455826.9968881463,11.062131644109073,120.0
2455827.9593451414,11.31608071425773,120.0
2455836.043619787,12.055446753507958,120.0
2455841.0755163315,12.162022944490515,120.0
2455843.9230551925,12.195791715029875,120.0
2455849.041242168,12.15473976449921,120.0
2455851.008903004,12.267882978243113,120.0
2455853.0116660353,12.176815003935927,120.0
2455855.1225249665,12.224889126186508,120.0
2455868.059716232,12.576842594193254,120.0
2455871.0162154925,12.586193769023028,120.0
2455875.008655708,12.729739689729488,120.0
2455875.8917141426,13.03623910883268,120.0
2455878.0386195458,12.880154258923946,120.0
2455880.9625656526,12.80028877356275,120.0
2455885.0087866313,12.753157357595049,120.0
2455891.0048815315,13.004941800037205,120.0
2455892.048017576,12.965751657335025,120.0
2455894.101525144,12.930005109356483,120.0
2455896.0491801132,13.260615674229136,120.0
2455900.0636474336,13.220145967532556,120.0
2455900.9882728397,13.330538188092035,120.0
2455908.0227886755,13.73620719886301,120.0
2455915.0384624465,13.594554435668309,120.0
2455915.928018591,13.596946094122702,120.0
2455920.102077146,13.703585744293964,120.0
2455921.964256588,13.679262996000698,120.0
2455936.9361228347,13.922649845592069,120.0
2455942.081702211,14.087012261379183,120.0
2455943.1059219306,14.243069512973102,120.0
2455946.964844713,14.179087878260782,120.0
2455948.9693345022,14.109309398461871,120.0
2455959.1555956467,14.325383806986302,120.0
2455973.0056308554,14.624265862302549,120.0
2455974.9007970933,14.766422600340992,120.0
2455981.9693865627,14.95508614552404,120.0
2455994.1001059394,15.197963605064013,120.0
